AÑO,COD_DANE_DEPARTAMENTO,DEPARTAMENTO,COD_SECRETARIA,SECRETARIA,COD_DANE_MUNICIPIO,MUNICIPIO,CODIGO_DANE,NOMBRE_ESTABLECIMIENTO,COD_SECTOR,SECTOR,COD_CARACTER,CARACTER,COD_CALENDARIO,CALENDARIO,DIRECCION,BARRIO_VEREDA,TELEFONO,FAX,EMAIL,RECTOR,WEB,TOTAL_MATRICULA,CANTIDAD_SEDES
2019,25,CUNDINAMARCA,3788,SOACHA,25754,SOACHA,325754003703,COLEGIO FE Y ESPERANZA,1002,NO_OFICIAL,-,-,52,A,KR 13 A 32 C 15,SANTAMARIA DEL RINCON,312 400 63 18 - 310 60 73 291,8211549,col.heidymilena@yahoo.com,HEIDY MILENA PACHON HERNANDEZ,,32,1
2019,73,TOLIMA,3815,TOLIMA,73504,ORTEGA,373283001581,COLEGIO BRITANICO EL RENACER,1002,NO_OFICIAL,-,-,52,A,KR 6 5 53,CENTRO,,0,myritrujillo@hotmail.com,MIRIAN YANETH TRUJILLO SABOGAL,No tiene,98,1
2019,8,ATLÁNTICO,3765,SOLEDAD,8758,SOLEDAD,308758800355,COLEGIO NIÑOS DE SHALOM,1002,NO_OFICIAL,-,-,52,A,KR 41 G 45 12 <EOF>,URB. EL PARQUE,3126072443,,SORODEVEN@GMAIL.COM,DORIS JOHANA HERRERA ALVARADO,,92,1
2019,25,CUNDINAMARCA,3788,SOACHA,25754,SOACHA,325754005447,COLEGIO NUESTRA SEÑORA DE LA ENSEÑANZA,1002,NO_OFICIAL,-,-,52,A,IND CL 35 SUR 6 B 33,SAN NICOLAS,7252414,,adri8125@hotmail.com,CARMEN JANNETH GARZÓN GUERRERO,,94,1
2019,73,TOLIMA,3815,TOLIMA,73504,ORTEGA,373268001752,COLEGIO CAFASUR,1002,NO_OFICIAL,-,-,52,A,KR 7 5 21,SAN RAFAEL,3187352597,0,colegiocafasur@gmail.com,TEOBALDO RICO HERNANDEZ,No tiene,238,1
2019,73,TOLIMA,3815,TOLIMA,73504,ORTEGA,373168003731,COLEGIO RAYITO DE LUZ (JARDIN INFANTIL),1002,NO_OFICIAL,-,-,52,A,KR 8 A 1 64,,,,,SANDRA MILENA LOZADA MONTES,,204,1
2019,73,TOLIMA,3815,TOLIMA,73504,ORTEGA,373148000272,COLEGIO MAYOR DEL CASTILLO II (COLEGIO PERSONALIZADO MARIA AUXILIADORA),1002,NO_OFICIAL,-,-,52,A,KR 2 5 57,CAMPOALEGRE,3112325031,0,colegiomayordelcastillo@gmail.com,ROBINSON DAVID ORTIZ OCAMPO,No tiene,204,1
2019,73,TOLIMA,3815,TOLIMA,73504,ORTEGA,473483000915,COLEGIO MARÍA MONTESSORI,1002,NO_OFICIAL,-,-,52,A,CL 6 7 47,,,,,MARIA CRISTINA LOPEZ JARAMILLO,,78,1
2019,68,SANTANDER,3808,SANTANDER,68324,GUAVATÁ,368679800032,COLEGIO JARDÍN VERDE,1002,NO_OFICIAL,-,-,52,A,IND CALLE 8 # 7-76,FATIMA,7239730 - 3178748640,7239730 - 3178748640,mgafs@hotmail.com,MANUEL GUILLERMO ALBERTO FORERO SALAZAR,mgafs@hotmail.com,24,1
2019,68,SANTANDER,3811,FLORIDABLANCA,68276,FLORIDABLANCA,368276003001,COLEGIO JUAN PABLO BONET,1002,NO_OFICIAL,-,-,52,A,KR 10 8 80,SATA ANA,6394145,,juan_pablobonet@hotmail.com,MARTHA LOZANO ARDILA,,23,1
2019,68,SANTANDER,3811,FLORIDABLANCA,68276,FLORIDABLANCA,368276800008,COLEGIO COOPERATIVO MIS PRIMEROS TRAZOS,1002,NO_OFICIAL,-,-,52,A,CL 16 12 02,CIUDAD VALENCIA,6396826,,colmisprimerostrazos@gmail.com,JAZMIN OMAIRA PORTILLA NIÑO,,93,1
2019,73,TOLIMA,3815,TOLIMA,73504,ORTEGA,373268001728,COLEGIO MIS BELLOS GENIOS,1002,NO_OFICIAL,-,-,52,A,CL 3 3 02,LA FLORESTA,3102427303,0,colegiombgenios11@gmail.com,ADAN FELIPE FORERO VILLANUEVA,No tiene,214,1
2019,11,"CAPITAL BOGOTÁ, D.C.",3766,BOGOTÁ,11001,"BOGOTÁ, D.C.",311001800324,COLEGIO BOLIVARIANO MOLINOS DEL SUR,1002,NO_OFICIAL,-,-,52,A,KR 5 U 49 G 42 SUR,MOLINOS I SECTOR,2797071,,colbolivariano@yahoo.es,JOHN ALEXANDER SABOGAL CUBILLOS,,124,1
2019,76,VALLE DEL CAUCA,3821,CARTAGO,76147,CARTAGO,376147002734,COLEGIO CONQUISTADORES,1002,NO_OFICIAL,-,-,52,A,KR 17 9 A 31,EL ROSARIO,2094996 - 2105619,,preescolarhk@hotmail.com,ADRIANA MARIA LOPEZ GAVIRIA,,128,1
2019,76,VALLE DEL CAUCA,3818,CALI,76001,CALI,376001043731,COLEGIO SENDEROS DEL LILI,1002,NO_OFICIAL,-,-,53,B,IND KR 94 48 A 05 EQ,LILI,3171147,,colegiosenderosdelili@gmail.com,YANIRA COLMENARES BELTRAN,,165,1
2019,11,"CAPITAL BOGOTÁ, D.C.",3766,BOGOTÁ,11001,"BOGOTÁ, D.C.",311001800031,COLEGIO DE FORMACION INTEGRAL MONTSAND,1002,NO_OFICIAL,-,-,52,A,CL 176 52 04,NUEVA ZELANDIA,3934357,,glonancy2009@hotmail.com,GLORIA NANCY MONTERO RICO,,88,1
2019,68,SANTANDER,3811,FLORIDABLANCA,68276,FLORIDABLANCA,368276003116,COLEGIO INTEGRADO MARAVILLAS INFANTILES,1002,NO_OFICIAL,-,-,52,A,CL 123 58 A 20,B. LA ESMERALDA,6770327,,col.in.maravillasinfantiles@hotmail.com,LIBIA LILIANA MENDOZA DAZA,,153,1
2019,68,SANTANDER,3811,FLORIDABLANCA,68276,FLORIDABLANCA,368276003141,COLEGIO SANTA MARÍA VILLA CLAVER,1002,NO_OFICIAL,-,-,52,A,KR 22 202 58,B. VILLA CLAVER,6994571,,sadres28@hotmail.com,SANDRA MILENA MORA REY,,197,1
2019,95,GUAVIARE,3830,GUAVIARE,95200,MIRAFLORES,395001004811,COLEGIO KID´S PLACE,1002,NO_OFICIAL,-,-,52,A,CL 12 20 91,LA ESPERANZA,,,,VIVIANA ANDREA TORRES MORENO,,21,1
