Departamento,Municipios,Capital,Superficie,Población,Densidad,IDH6,Fecha de creación,Región
Amazonas,2,Leticia,109665,74541,0.7,0.768,1928,Amazonía
Antioquia,125,Medellín,63612,6299886,95.4,0.849,1856,Andina
Arauca,7,Arauca,23818,256527,10.4,0.804,1911,Orinoquía
Atlántico,23,Barranquilla,3019,2403027,766.6,0.835,1905,Caribe
Bogotá,0,Bogotá,1775,7878783,4146,0.904,1538,Andina
Bolívar,45,Cartagena de Indias,25978,2049083,76.2,0.823,1857,Caribe
Boyacá,123,Tunja,23012,1272844,55.1,0.842,1857,Andina
Caldas,27,Manizales,7888,984128,124,0.828,1905,Andina
Caquetá,16,Florencia,88965,465477,5,0.752,1909,Amazonía
Casanare,19,Yopal,44490,344027,7.3,0.867,1973,Orinoquía
Cauca,41,Popayán,29308,1354744,45,0.782,1857,Pacífico
Cesar,25,Valledupar,22905,1004064,42.2,0.81,1967,Caribe
Chocó,31,Quibdó,46530,490327,10.2,0.731,1906,Pacífico
Córdoba,30,Montería,25020,1658090,63.3,0.798,1952,Caribe
Cundinamarca,116,Bogotá,24210,2598245,102.3,0.837,1857,Andina
Guainía,1,Inírida,72238,40203,0.5,0.768,1963,Amazonía
Guaviare,4,San José del Guaviare,52957,107934,1.95,0.768,1977,Amazonía
Huila,37,Neiva,19890,1126314,54.5,0.807,1905,Andina
La Guajira,15,Riohacha,20848,902386,39.3,0.691,1898,Caribe
Magdalena,30,Santa Marta,23188,1235425,52,0.785,1857,Caribe
Meta,29,Villavicencio,85635,924843,10.2,0.822,1905,Orinoquía
Nariño,64,Pasto,32820,1701840,50,0.773,1904,Pacífico
Norte de Santander,40,San José de Cúcuta,21648,1332335,61,0.799,1910,Andina
Putumayo,13,Mocoa,24885,337054,13.1,0.759,1905,Amazonía
Quindío,12,Armenia,1845,568473,308.1,0.832,1966,Andina
Risaralda,14,Pereira,4140,941283,223.5,0.839,1966,Andina
San Andrés y Providencia,2,San Andrés,52,75167,1410,0.834,1912,Caribe
Santander,87,Bucaramanga,30537,2340988,65.8,0.879,1857,Andina
Sucre,26,Sincelejo,10670,834927,76,0.775,1966,Caribe
Tolima,47,Ibagué,23562,1400203,58.9,0.804,1861,Andina
Valle del Cauca,42,Cali,22195,4520166,197.5,0.861,1910,Pacífico
Vaupés,3,Mitú,54135,42817,0.8,0.768,1910,Amazonía
Vichada,4,Puerto Carreño,100947,68575,0.6,0.768,1913,Orinoquía
