Identificador,Producto,Cantidad,Precio Unitario,Total Pagado,Forma de pago,Lugar Compra,Fecha Compra
TXN_1961373,Café,2,2.0,4.0,Tarjeta Crédito,Para llevar,2023-09-08
TXN_4977031,Torta,4,3.0,12.0,Efectivo,Restaurante,2023-05-16
TXN_4271903,Galleta,4,1.0,ERROR,Tarjeta Crédito,Restaurante,2023-07-19
TXN_7034554,Ensalada,2,5.0,10.0,DESCONOCIDO,DESCONOCIDO,2023-04-27
TXN_3160411,Café,2,2.0,4.0,Nequi/Daviplata,Restaurante,2023-06-11
TXN_2602893,Granizado,5,4.0,20.0,Tarjeta Crédito,,2023-03-31
TXN_4433211,DESCONOCIDO,3,3.0,9.0,ERROR,Para llevar,2023-10-06
TXN_6699534,Sandwich,4,4.0,16.0,Efectivo,DESCONOCIDO,2023-10-28
TXN_4717867,,5,3.0,15.0,,Para llevar,2023-07-28
TXN_2064365,Sandwich,5,4.0,20.0,,Restaurante,2023-12-31
TXN_2548360,Ensalada,5,5.0,25.0,Efectivo,Para llevar,2023-11-07
TXN_3051279,Sandwich,2,4.0,8.0,Tarjeta Crédito,Para llevar,ERROR
TXN_7619095,Sandwich,2,4.0,8.0,Efectivo,Restaurante,2023-05-03
TXN_9437049,Galleta,5,1.0,5.0,,Para llevar,2023-06-01
TXN_8915701,ERROR,2,1.5,3.0,,Restaurante,2023-03-21
TXN_2847255,Ensalada,3,5.0,15.0,Tarjeta Crédito,Restaurante,2023-11-15
TXN_3765707,Sandwich,1,4.0,4.0,,,2023-06-10
TXN_6769710,Jugo,2,3.0,6.0,Efectivo,Restaurante,2023-02-24
TXN_8876618,Torta,5,3.0,15.0,Efectivo,ERROR,2023-03-25
TXN_3709394,Jugo,4,3.0,12.0,Efectivo,Para llevar,2023-01-15
TXN_3522028,Granizado,ERROR,4.0,20.0,Efectivo,Restaurante,2023-04-04
TXN_3567645,Granizado,4,4.0,16.0,Tarjeta Crédito,Para llevar,2023-03-30
TXN_5132361,Sandwich,3,4.0,12.0,Nequi/Daviplata,Para llevar,2023-12-01
TXN_2616390,Sandwich,2,4.0,8.0,,,2023-09-18
TXN_9400181,Sandwich,5,4.0,20.0,Efectivo,Restaurante,2023-06-03
TXN_7958992,Granizado,3,4.0,,DESCONOCIDO,DESCONOCIDO,2023-12-13
TXN_5183041,Galleta,5,1.0,5.0,Tarjeta Crédito,Restaurante,2023-04-20
TXN_5695074,Jugo,4,3.0,12.0,Tarjeta Crédito,Para llevar,2023-04-10
TXN_8467949,Granizado,5,4.0,20.0,Tarjeta Crédito,,2023-03-11
TXN_7640952,Torta,4,3.0,12.0,Nequi/Daviplata,Para llevar,ERROR
TXN_1736287,,5,2.0,10.0,Nequi/Daviplata,,2023-06-02
TXN_8927252,DESCONOCIDO,2,1.0,ERROR,Tarjeta Crédito,ERROR,2023-11-06
TXN_9677376,Granizado,4,4.0,16.0,,Restaurante,2023-08-15
TXN_7710508,DESCONOCIDO,5,1.0,5.0,Efectivo,,ERROR
TXN_8853997,Granizado,2,4.0,8.0,Nequi/Daviplata,Para llevar,2023-10-09
TXN_9130559,Sandwich,1,4.0,4.0,Tarjeta Crédito,DESCONOCIDO,2023-05-28
TXN_6855453,DESCONOCIDO,4,3.0,12.0,,Restaurante,2023-07-17
TXN_1080432,Ensalada,2,5.0,10.0,Tarjeta Crédito,Restaurante,2023-04-29
TXN_2655815,Granizado,4,4.0,16.0,,Para llevar,2023-06-08
TXN_6688524,Café,4,2.0,8.0,ERROR,,2023-06-29
TXN_2083138,Granizado,3,4.0,12.0,,Restaurante,2023-04-17
TXN_2427584,Sandwich,4,4.0,16.0,,Para llevar,2023-12-22
TXN_6650263,Te,2,1.5,DESCONOCIDO,,Para llevar,2023-01-10
TXN_9620080,Jugo,4,3.0,12.0,,Para llevar,2023-10-02
TXN_1491578,Galleta,2,1.0,2.0,,,2023-02-23
TXN_5455792,Ensalada,3,5.0,15.0,Efectivo,,2023-03-22
TXN_8078640,Jugo,4,3.0,12.0,Nequi/Daviplata,Restaurante,2023-11-03
TXN_9499313,Jugo,5,3.0,15.0,,,2023-03-02
TXN_8201146,Jugo,5,3.0,15.0,Efectivo,,2023-06-26
TXN_8230936,Torta,3,3.0,9.0,,ERROR,2023-05-02
TXN_7742742,Torta,5,3.0,15.0,,Para llevar,2023-09-05
TXN_6342161,Ensalada,5,5.0,25.0,ERROR,Para llevar,2023-01-08
TXN_8914892,DESCONOCIDO,5,5.0,25.0,Nequi/Daviplata,,2023-03-15
TXN_3363746,Granizado,3,4.0,12.0,Tarjeta Crédito,,2023-11-25
TXN_8614868,Granizado,5,4.0,20.0,Nequi/Daviplata,Para llevar,2023-12-05
TXN_5522862,Galleta,ERROR,1.0,2.0,Tarjeta Crédito,Para llevar,2023-03-19
TXN_3578141,Torta,5,,15.0,,Para llevar,2023-06-27
TXN_2080895,Torta,DESCONOCIDO,3.0,3.0,Nequi/Daviplata,Restaurante,2023-04-19
TXN_6421134,Sandwich,4,4.0,16.0,Efectivo,Para llevar,2023-11-03
TXN_8813311,Jugo,5,3.0,15.0,,Restaurante,2023-10-07
TXN_9023317,Ensalada,1,5.0,5.0,,,2023-09-30
TXN_8051289,,1,3.0,3.0,,Restaurante,2023-10-09
TXN_2537617,Sandwich,1,4.0,4.0,Efectivo,,2023-05-27
TXN_9099694,DESCONOCIDO,3,5.0,15.0,,Para llevar,2023-11-18
TXN_9230615,Granizado,4,4.0,16.0,Nequi/Daviplata,,2023-06-01
TXN_4987129,Sandwich,3,,,,Restaurante,2023-10-20
TXN_8501819,Jugo,,3.0,6.0,Efectivo,,2023-03-30
TXN_3068204,Galleta,1,1.0,1.0,Tarjeta Crédito,Para llevar,2023-10-03
TXN_8427104,Ensalada,2,ERROR,10.0,,Restaurante,2023-10-27
TXN_8471743,ERROR,5,3.0,15.0,Nequi/Daviplata,Restaurante,2023-04-06
TXN_2621580,Te,2,1.5,3.0,Efectivo,Restaurante,2023-03-22
TXN_4726376,Torta,2,3.0,6.0,Tarjeta Crédito,Restaurante,2023-01-31
TXN_6044979,,1,1.0,1.0,Efectivo,Restaurante,2023-12-08
TXN_4238417,Ensalada,2,5.0,10.0,,ERROR,2023-06-19
TXN_1900620,Granizado,2,4.0,8.0,Tarjeta Crédito,ERROR,2023-12-14
TXN_6420335,Café,1,2.0,2.0,Efectivo,Para llevar,2023-07-16
TXN_3858209,Sandwich,4,4.0,16.0,Efectivo,,2023-02-22
TXN_2091733,Ensalada,1,5.0,5.0,,Restaurante,
TXN_8735480,Te,5,1.5,7.5,Efectivo,,2023-06-02
TXN_3829165,Jugo,4,3.0,12.0,Efectivo,Restaurante,2023-06-15
TXN_3748616,Café,2,2.0,4.0,Tarjeta Crédito,Restaurante,2023-12-09
TXN_1993289,Sandwich,2,4.0,8.0,,Restaurante,2023-04-18
TXN_2123367,Galleta,2,1.0,2.0,,,2023-11-07
TXN_5266394,Torta,3,3.0,9.0,Efectivo,Restaurante,2023-10-28
TXN_5107946,Torta,4,3.0,12.0,Tarjeta Crédito,,2023-12-22
TXN_8035512,Te,3,,4.5,Efectivo,DESCONOCIDO,2023-10-29
TXN_8718498,Torta,5,3.0,15.0,Tarjeta Crédito,ERROR,2023-04-30
TXN_3955361,Galleta,5,1.0,5.0,,Para llevar,2023-04-02
TXN_9487821,ERROR,1,5.0,5.0,Nequi/Daviplata,Para llevar,2023-05-24
TXN_4132730,,5,1.0,5.0,,Restaurante,2023-03-12
TXN_8976658,Te,2,1.5,3.0,Tarjeta Crédito,Restaurante,2023-08-16
TXN_5455936,DESCONOCIDO,5,3.0,15.0,,Restaurante,2023-10-28
TXN_2725602,Jugo,5,3.0,15.0,Tarjeta Crédito,,2023-09-10
TXN_3011323,Café,3,2.0,6.0,Tarjeta Crédito,,2023-03-07
TXN_6289610,Jugo,3,3.0,DESCONOCIDO,Efectivo,Para llevar,2023-08-07
TXN_8268061,Ensalada,3,5.0,15.0,ERROR,Para llevar,2023-08-20
TXN_5220895,Ensalada,5,5.0,25.0,Efectivo,Restaurante,2023-06-10
TXN_3085509,Café,4,2.0,8.0,Nequi/Daviplata,Restaurante,2023-04-15
TXN_9999113,Jugo,4,3.0,12.0,Efectivo,Para llevar,2023-05-27
TXN_8779771,Café,4,2.0,8.0,Efectivo,Restaurante,2023-07-25
TXN_9517146,,5,5.0,25.0,Efectivo,Para llevar,2023-10-30
TXN_1621920,Ensalada,3,5.0,15.0,,Para llevar,2023-10-28
TXN_3808639,Jugo,2,3.0,6.0,Nequi/Daviplata,Para llevar,2023-12-15
TXN_7028009,Torta,4,3.0,12.0,,Para llevar,ERROR
TXN_7447872,Jugo,2,,6.0,,,
TXN_6955416,Ensalada,4,5.0,20.0,ERROR,Restaurante,2023-02-25
TXN_3775339,Galleta,3,1.0,3.0,Tarjeta Crédito,DESCONOCIDO,2023-04-03
TXN_9547091,Galleta,3,1.0,3.0,Tarjeta Crédito,,2023-10-08
TXN_4358673,Galleta,5,1.0,5.0,Nequi/Daviplata,Para llevar,2023-12-28
TXN_4174591,Te,4,1.5,6.0,Nequi/Daviplata,,2023-08-30
TXN_3398520,Sandwich,1,4.0,4.0,,Restaurante,2023-02-03
TXN_6171384,Granizado,2,4.0,8.0,Tarjeta Crédito,,2023-09-12
TXN_2530938,Granizado,5,4.0,20.0,,Para llevar,2023-04-27
TXN_3314971,Jugo,3,3.0,9.0,Nequi/Daviplata,,2023-05-04
TXN_3092382,Café,5,2.0,10.0,Nequi/Daviplata,,2023-02-21
TXN_1001832,Ensalada,2,5.0,10.0,Efectivo,Para llevar,DESCONOCIDO
TXN_1535311,Jugo,3,3.0,9.0,Efectivo,,2023-03-16
TXN_2148617,Jugo,ERROR,3.0,9.0,Nequi/Daviplata,DESCONOCIDO,2023-01-10
TXN_4633784,ERROR,5,,15.0,,Restaurante,2023-02-06
TXN_4368416,Ensalada,2,5.0,10.0,Tarjeta Crédito,Para llevar,2023-02-24
TXN_9790731,Torta,2,3.0,6.0,DESCONOCIDO,,2023-06-02
TXN_9339456,Café,3,2.0,6.0,,Para llevar,2023-03-29
TXN_5179020,Torta,2,3.0,6.0,,Para llevar,2023-06-18
TXN_6258471,Café,5,2.0,10.0,Nequi/Daviplata,Restaurante,2023-09-23
TXN_7945375,Jugo,3,3.0,9.0,,,2023-01-14
TXN_4685453,Te,4,1.5,6.0,Efectivo,Restaurante,2023-09-14
TXN_9646452,Jugo,5,3.0,15.0,Tarjeta Crédito,,2023-09-16
TXN_9096052,Granizado,4,4.0,16.0,Tarjeta Crédito,Para llevar,2023-12-28
TXN_5916991,Jugo,2,3.0,6.0,Nequi/Daviplata,Para llevar,2023-02-06
TXN_3407169,Sandwich,2,4.0,8.0,Efectivo,Restaurante,2023-03-11
TXN_2277042,Te,1,1.5,1.5,Efectivo,,2023-04-08
TXN_9273729,Te,1,1.5,1.5,,,2023-12-19
TXN_2181545,Jugo,4,3.0,12.0,Tarjeta Crédito,Para llevar,2023-07-14
TXN_1150033,Jugo,5,3.0,15.0,Efectivo,Restaurante,2023-04-18
TXN_1443912,Jugo,2,3.0,6.0,,,2023-06-08
TXN_8700451,Te,5,1.5,7.5,Tarjeta Crédito,Para llevar,2023-12-12
TXN_6380550,Café,5,2.0,10.0,Efectivo,Restaurante,2023-01-05
TXN_4885518,Ensalada,3,5.0,15.0,Tarjeta Crédito,Restaurante,2023-06-10
TXN_3972167,Sandwich,5,4.0,20.0,,Restaurante,2023-01-23
TXN_4878378,Te,1,1.5,1.5,Tarjeta Crédito,,2023-02-20
TXN_2484241,Torta,3,DESCONOCIDO,9.0,Nequi/Daviplata,,2023-07-19
TXN_2368126,Torta,5,3.0,15.0,,Restaurante,2023-12-06
TXN_7943008,Café,1,2.0,2.0,Tarjeta Crédito,,ERROR
TXN_8495063,Jugo,1,3.0,DESCONOCIDO,Efectivo,,2023-05-31
TXN_4811133,Ensalada,2,5.0,10.0,Efectivo,,2023-08-11
TXN_8729570,Te,5,1.5,7.5,DESCONOCIDO,Restaurante,2023-09-03
